task_id,title,description,priority,status,assignee,project,created_date,due_date,completed_date,tags,estimated_hours,actual_hours,dependencies,progress_percent,comments_count,last_updated
TASK-0168,Create task scheduler,Data pipeline and ETL,Medium,Done,Harish,Scheduler,2025-09-16,2025-10-15,2025-09-25,"ml,data,research",8,10,,100,2,2025-09-23
TASK-0169,Evaluate model accuracy,Performance improvements and profiling,Low,Todo,Irfan,Platform,2025-07-19,2025-08-17,,ux,4,,TASK-158,0,3,2025-07-30
TASK-0170,Write API documentation,Frontend design and interaction,Critical,In Progress,Aisha,Dashboard,2025-08-09,2025-09-07,,"backend,data",24,,,66,11,2025-08-21
TASK-0171,Deploy model to staging,Frontend design and interaction,Low,Blocked,Bhanu,Notifications,2025-07-30,2025-09-05,,"research,devops",4,,,33,3,2025-10-04
TASK-0172,Design user onboarding flow,Performance improvements and profiling,Medium,Review,Faisal,Dashboard,2025-08-29,2025-09-07,,performance,40,,,83,11,2025-10-07
TASK-0173,Set up CI/CD pipeline,Performance improvements and profiling,High,In Progress,Irfan,ML-Pipeline,2025-09-22,2025-10-18,,"data,api,research",16,,,55,3,2025-10-15
TASK-0174,Write unit tests for scheduler,Documentation and handover,High,Done,Bhanu,Payments,2025-08-10,2025-09-07,2025-08-31,"ux,backend,ml",24,37,TASK-24,100,13,2025-08-21
TASK-0175,Create task scheduler,Model training and evaluation,Low,Todo,Aisha,Dashboard,2025-08-24,2025-10-05,,"data,research,backend",8,,,0,9,2025-09-05
TASK-0176,Implement auth API,Customer-facing improvements,Medium,Review,Jaya,Scheduler,2025-07-20,2025-07-25,,"devops,backend",8,,TASK-71,81,12,2025-10-03
TASK-0177,Optimize DB queries,DevOps tasks for deployment,Low,Review,Bhanu,Platform,2025-09-08,2025-10-16,,"bug,ux,research",8,,,84,0,2025-09-24
TASK-0178,Create dashboard widgets,Performance improvements and profiling,Medium,In Progress,Irfan,Notifications,2025-09-01,2025-09-11,,"research,data,ux",24,,,77,10,2025-09-30
TASK-0179,Add feature flags,Documentation and handover,High,Done,Harish,AuthService,2025-09-11,2025-09-18,2025-09-17,"devops,ux,bug",24,37,,100,7,2025-09-29
TASK-0180,Create task scheduler,Performance improvements and profiling,Medium,Done,Bhanu,Platform,2025-09-22,2025-10-25,2025-10-12,"devops,research",8,12,,100,7,2025-10-15
TASK-0181,Write unit tests for scheduler,Model training and evaluation,Low,Todo,Deepak,Ops,2025-08-30,2025-09-11,,frontend,4,,,0,1,2025-09-29
TASK-0182,Annotate training data,Customer-facing improvements,Medium,Done,Jaya,Notifications,2025-08-13,2025-08-27,2025-08-29,"performance,devops",40,29,,100,1,2025-09-26
TASK-0183,Evaluate model accuracy,Frontend design and interaction,Medium,Todo,Irfan,ML-Pipeline,2025-09-04,2025-09-07,,devops,24,,,0,8,2025-09-15
TASK-0184,Prototype new UI,Model training and evaluation,Low,In Progress,Jaya,Analytics,2025-08-29,2025-09-12,,"performance,devops",24,,,52,8,2025-09-26
TASK-0185,Create dashboard widgets,Customer-facing improvements,Low,In Progress,Deepak,AuthService,2025-09-10,2025-09-28,,"performance,ux,devops",8,,,24,5,2025-10-06
TASK-0186,Write API documentation,Frontend design and interaction,Critical,Done,Irfan,Platform,2025-09-04,2025-10-08,2025-09-23,"data,backend",24,16,TASK-56,100,3,2025-10-02
TASK-0187,Implement caching layer,Testing and QA tasks,Low,In Progress,Irfan,Notifications,2025-08-31,2025-09-04,,"frontend,bug",40,,TASK-148,73,11,2025-09-20
TASK-0188,Add feature flags,DevOps tasks for deployment,Medium,Review,Bhanu,Dashboard,2025-07-28,2025-08-18,,"ml,ux",16,,,82,2,2025-08-17
TASK-0189,Train intent classifier,Data pipeline and ETL,Medium,Review,Esha,Ops,2025-07-24,2025-08-21,,"api,bug",40,,,83,5,2025-07-26
TASK-0190,Build notification service,Data pipeline and ETL,Medium,Done,Bhanu,Payments,2025-09-23,2025-10-21,2025-09-29,frontend,24,27,TASK-102,100,3,2025-10-01
TASK-0191,Fix production bug - payment,Frontend design and interaction,Low,Done,Gayathri,Notifications,2025-09-15,2025-10-03,2025-10-08,"api,ml",8,9,TASK-9,100,14,2025-10-12
TASK-0192,Prototype new UI,Model training and evaluation,Medium,Todo,Irfan,Scheduler,2025-07-31,2025-09-10,,"ux,performance",40,,,0,15,2025-10-08
TASK-0193,Write unit tests for scheduler,Backend APIs and integration,Medium,In Progress,Esha,Scheduler,2025-09-06,2025-09-09,,data,8,,,65,15,2025-10-06
TASK-0194,Data ingestion from 3rd-party,Detailed work on feature as per spec,High,Blocked,Jaya,Payments,2025-10-14,2025-11-21,,"devops,performance",40,,,24,12,2025-10-14
TASK-0195,Set up CI/CD pipeline,Backend APIs and integration,Medium,Todo,Jaya,Notifications,2025-09-08,2025-10-22,,"data,research,performance",8,,,0,3,2025-10-07
TASK-0196,Fix production bug - payment,Documentation and handover,Low,Review,Deepak,Analytics,2025-10-12,2025-10-24,,data,4,,TASK-27,78,14,2025-10-12
TASK-0197,Write unit tests for scheduler,Backend APIs and integration,Low,In Progress,Faisal,Dashboard,2025-09-05,2025-10-09,,"api,backend",16,,TASK-193,23,12,2025-09-09
TASK-0198,Prototype new UI,Documentation and handover,Low,Done,Esha,Dashboard,2025-10-13,2025-10-23,2025-10-20,"api,devops",4,3,,100,15,2025-10-14
TASK-0199,Add feature flags,Model training and evaluation,Critical,Todo,Aisha,Platform,2025-08-09,2025-08-19,,"api,research",8,,,0,3,2025-09-08
TASK-0200,Investigate latency issue,Performance improvements and profiling,Medium,Todo,Esha,Ops,2025-09-29,2025-10-27,,backend,4,,,0,4,2025-10-10
TASK-0201,Conduct A/B test,Backend APIs and integration,Low,In Progress,Jaya,Analytics,2025-07-26,2025-08-01,,bug,8,,,18,7,2025-09-04
TASK-0202,Prototype new UI,Testing and QA tasks,High,In Progress,Deepak,Onboarding,2025-07-18,2025-08-14,,"ml,research",4,,,61,15,2025-08-11
TASK-0203,Refactor legacy code,Frontend design and interaction,Medium,In Progress,Harish,Notifications,2025-07-30,2025-09-06,,frontend,40,,TASK-76,38,14,2025-07-30
TASK-0204,Conduct A/B test,DevOps tasks for deployment,Medium,Todo,Aisha,Ops,2025-08-29,2025-10-10,,bug,4,,,0,15,2025-10-03
TASK-0205,Build notification service,Customer-facing improvements,Low,In Progress,Faisal,AuthService,2025-10-02,2025-11-07,,"frontend,backend,ml",8,,,30,6,2025-10-03
TASK-0206,Implement auth API,Customer-facing improvements,Medium,In Progress,Harish,Platform,2025-07-27,2025-09-05,,"backend,bug",8,,,14,15,2025-08-06
TASK-0207,Improve logging & monitoring,Detailed work on feature as per spec,Medium,Review,Gayathri,Analytics,2025-10-07,2025-11-18,,"data,backend",4,,,76,3,2025-10-08
TASK-0208,Implement caching layer,Data pipeline and ETL,Medium,Todo,Irfan,Payments,2025-08-03,2025-09-15,,data,40,,,0,11,2025-09-30
TASK-0209,Migrate DB schema,Performance improvements and profiling,High,Todo,Chitra,Platform,2025-08-24,2025-09-28,,"ml,data",40,,,0,10,2025-09-16
TASK-0210,Deploy model to staging,Performance improvements and profiling,High,In Progress,Deepak,Ops,2025-08-06,2025-08-22,,"data,research",16,,,62,1,2025-09-11
TASK-0211,Fix production bug - payment,Detailed work on feature as per spec,Medium,Done,Esha,Onboarding,2025-09-06,2025-09-23,2025-09-12,"backend,research",40,44,,100,1,2025-10-05
TASK-0212,Annotate training data,Frontend design and interaction,Low,In Progress,Jaya,Payments,2025-09-15,2025-10-04,,"frontend,performance",40,,,14,15,2025-09-20
TASK-0213,Write API documentation,Customer-facing improvements,High,Todo,Esha,Onboarding,2025-08-02,2025-08-29,,backend,16,,,0,7,2025-08-03
TASK-0214,Investigate latency issue,Performance improvements and profiling,Low,In Progress,Faisal,Platform,2025-08-03,2025-08-15,,"data,devops",8,,TASK-188,55,2,2025-08-31
TASK-0215,Deploy model to staging,Model training and evaluation,High,Todo,Faisal,AuthService,2025-08-15,2025-09-23,,"backend,data,performance",16,,TASK-129,0,4,2025-09-14
TASK-0216,Prototype new UI,Data pipeline and ETL,Medium,Review,Deepak,Platform,2025-07-28,2025-09-02,,devops,4,,,80,2,2025-08-11
TASK-0217,Add feature flags,Performance improvements and profiling,Medium,In Progress,Faisal,Analytics,2025-07-30,2025-09-12,,research,8,,,61,14,2025-08-04
TASK-0218,Optimize image processing,Data pipeline and ETL,Low,In Progress,Bhanu,AuthService,2025-10-08,2025-10-26,,"ml,research,backend",16,,,19,15,2025-10-08
TASK-0219,Train intent classifier,Data pipeline and ETL,High,Todo,Irfan,Platform,2025-09-11,2025-10-19,,"ux,ml",4,,,0,5,2025-09-14
TASK-0220,Data ingestion from 3rd-party,Data pipeline and ETL,High,Review,Aisha,ML-Pipeline,2025-07-23,2025-07-26,,performance,16,,,73,9,2025-10-14
TASK-0221,Evaluate model accuracy,Data pipeline and ETL,Critical,In Progress,Bhanu,Analytics,2025-08-13,2025-09-23,,"frontend,ml,devops",40,,,76,1,2025-09-13
TASK-0222,Optimize image processing,DevOps tasks for deployment,Medium,In Progress,Chitra,Onboarding,2025-08-31,2025-09-25,,"research,devops",40,,,12,12,2025-09-01
TASK-0223,Prototype new UI,Model training and evaluation,Low,In Progress,Gayathri,Scheduler,2025-10-03,2025-10-30,,"ux,devops,performance",8,,,59,10,2025-10-10
TASK-0224,Prototype new UI,Frontend design and interaction,Low,Todo,Irfan,Payments,2025-09-27,2025-10-19,,"data,ml,performance",8,,,0,2,2025-10-14
TASK-0225,Prototype new UI,Backend APIs and integration,Low,Done,Chitra,Onboarding,2025-09-04,2025-10-03,2025-09-30,"api,research",8,11,TASK-48,100,8,2025-10-12
TASK-0226,Refactor legacy code,Customer-facing improvements,Low,Todo,Aisha,Analytics,2025-10-04,2025-11-06,,data,40,,,0,15,2025-10-11
TASK-0227,Build notification service,Frontend design and interaction,Low,Todo,Aisha,Notifications,2025-08-23,2025-09-09,,"devops,ux,frontend",8,,,0,10,2025-09-21
TASK-0228,Implement role based access,Data pipeline and ETL,Medium,Blocked,Jaya,Dashboard,2025-09-04,2025-10-02,,"ux,data,backend",40,,TASK-117,33,12,2025-09-06
TASK-0229,Prototype new UI,Performance improvements and profiling,Medium,Review,Aisha,Payments,2025-09-07,2025-10-08,,"research,ux",24,,TASK-76,92,4,2025-10-06
TASK-0230,Setup feature rollout,Documentation and handover,Low,In Progress,Chitra,Ops,2025-07-17,2025-08-23,,performance,24,,,8,6,2025-09-13
TASK-0231,Create task scheduler,Model training and evaluation,Medium,Review,Chitra,AuthService,2025-10-03,2025-10-13,,"api,bug,frontend",40,,,89,12,2025-10-11
TASK-0232,Evaluate model accuracy,Detailed work on feature as per spec,High,Done,Jaya,Scheduler,2025-09-24,2025-10-06,2025-09-29,"backend,performance,research",16,21,,100,3,2025-09-28
TASK-0233,Optimize DB queries,Detailed work on feature as per spec,Medium,In Progress,Harish,ML-Pipeline,2025-08-12,2025-09-18,,ux,24,,,80,14,2025-10-03
TASK-0234,Improve logging & monitoring,Backend APIs and integration,Medium,Todo,Irfan,Notifications,2025-07-27,2025-09-08,,"devops,backend,ml",8,,TASK-90,0,9,2025-09-07
TASK-0235,Optimize image processing,Backend APIs and integration,Low,In Progress,Chitra,Scheduler,2025-07-20,2025-08-10,,"ux,data,ml",24,,,51,9,2025-08-30
TASK-0236,Annotate training data,Performance improvements and profiling,High,Blocked,Irfan,AuthService,2025-09-07,2025-10-10,,frontend,16,,,13,6,2025-09-10
TASK-0237,Integrate payment gateway,Customer-facing improvements,High,Review,Bhanu,ML-Pipeline,2025-07-18,2025-08-28,,"research,performance,bug",16,,,74,15,2025-09-22
TASK-0238,Implement caching layer,Documentation and handover,Medium,Todo,Jaya,Payments,2025-09-07,2025-09-22,,frontend,4,,,0,13,2025-10-03
TASK-0239,Implement auth API,Testing and QA tasks,Medium,Done,Deepak,Onboarding,2025-07-25,2025-08-09,2025-08-03,"frontend,research",16,17,,100,10,2025-09-13
TASK-0240,Implement caching layer,Customer-facing improvements,Medium,Todo,Chitra,Payments,2025-09-02,2025-09-26,,"api,ux,backend",8,,,0,14,2025-09-28
TASK-0241,Optimize image processing,Detailed work on feature as per spec,High,In Progress,Faisal,Platform,2025-08-07,2025-08-11,,ux,16,,,50,8,2025-08-10
TASK-0242,Train intent classifier,Performance improvements and profiling,Medium,Done,Jaya,Ops,2025-08-26,2025-09-09,2025-09-14,research,16,20,,100,11,2025-09-23
TASK-0243,Setup feature rollout,Model training and evaluation,Low,In Progress,Bhanu,Analytics,2025-10-10,2025-10-25,,api,40,,TASK-124,69,10,2025-10-13
TASK-0244,Implement caching layer,DevOps tasks for deployment,Medium,In Progress,Bhanu,Platform,2025-07-20,2025-07-31,,backend,24,,,71,9,2025-07-25
TASK-0245,Add feature flags,Customer-facing improvements,High,In Progress,Aisha,AuthService,2025-08-09,2025-09-23,,"research,backend,ux",8,,,29,10,2025-10-04
TASK-0246,Add feature flags,Backend APIs and integration,Low,Todo,Bhanu,Onboarding,2025-07-27,2025-09-03,,"frontend,devops,bug",40,,,0,7,2025-08-17
TASK-0247,Create task scheduler,Model training and evaluation,Medium,In Progress,Harish,Onboarding,2025-09-28,2025-10-02,,"backend,frontend",24,,TASK-110,55,14,2025-10-09
TASK-0248,Data ingestion from 3rd-party,Testing and QA tasks,High,Review,Irfan,AuthService,2025-08-16,2025-09-24,,frontend,24,,TASK-80,85,7,2025-08-25
TASK-0249,Create data backup job,Customer-facing improvements,Low,In Progress,Chitra,Analytics,2025-09-03,2025-10-05,,"backend,frontend",24,,TASK-123,64,11,2025-10-11
TASK-0250,Refactor legacy code,Frontend design and interaction,Medium,In Progress,Bhanu,Analytics,2025-08-04,2025-09-17,,research,40,,,80,7,2025-10-13
TASK-0251,Create dashboard widgets,Documentation and handover,Medium,In Progress,Jaya,Dashboard,2025-08-20,2025-09-28,,"data,devops",8,,,14,15,2025-08-27
TASK-0252,Refactor legacy code,Customer-facing improvements,Medium,In Progress,Harish,Scheduler,2025-09-05,2025-10-03,,ux,4,,,53,1,2025-09-10
TASK-0253,Optimize DB queries,Frontend design and interaction,High,Done,Aisha,Scheduler,2025-07-22,2025-08-03,2025-08-05,"research,performance,api",8,6,,100,13,2025-09-04
TASK-0254,Create task scheduler,Customer-facing improvements,Low,Done,Gayathri,Scheduler,2025-09-07,2025-09-13,2025-09-12,"backend,ux,bug",4,5,,100,12,2025-09-27
TASK-0255,Migrate DB schema,Performance improvements and profiling,Medium,In Progress,Deepak,Scheduler,2025-08-15,2025-08-26,,data,24,,,51,9,2025-10-09
TASK-0256,Add feature flags,Frontend design and interaction,Low,Todo,Aisha,Scheduler,2025-08-13,2025-09-27,,"ml,frontend",8,,,0,13,2025-09-05
TASK-0257,Improve logging & monitoring,DevOps tasks for deployment,Medium,Done,Gayathri,Analytics,2025-09-16,2025-09-30,2025-09-29,"backend,api,devops",40,34,,100,1,2025-10-04
TASK-0258,Write API documentation,Testing and QA tasks,Low,In Progress,Bhanu,Scheduler,2025-08-08,2025-08-28,,"data,frontend",40,,,16,2,2025-09-16
TASK-0259,Fix production bug - payment,Detailed work on feature as per spec,Critical,In Progress,Aisha,ML-Pipeline,2025-08-17,2025-09-21,,"ux,bug",24,,,42,1,2025-09-30
TASK-0260,Optimize image processing,Customer-facing improvements,High,Review,Jaya,Notifications,2025-10-07,2025-11-19,,"ux,ml",40,,TASK-150,79,2,2025-10-09
TASK-0261,User research interviews,Backend APIs and integration,High,In Progress,Chitra,Ops,2025-09-09,2025-09-29,,"backend,frontend",40,,TASK-78,62,8,2025-09-24
TASK-0262,Write API documentation,Frontend design and interaction,High,Done,Faisal,AuthService,2025-09-26,2025-11-06,2025-10-05,"performance,ux",8,10,,100,11,2025-09-27
TASK-0263,Investigate latency issue,Model training and evaluation,High,Todo,Chitra,ML-Pipeline,2025-08-24,2025-09-26,,"api,data",8,,,0,4,2025-09-26
TASK-0264,Create data backup job,Performance improvements and profiling,Low,Done,Harish,Dashboard,2025-07-20,2025-08-12,2025-08-05,"backend,frontend,bug",24,29,,100,8,2025-08-01
TASK-0265,Set up CI/CD pipeline,Customer-facing improvements,Medium,Blocked,Deepak,Ops,2025-09-20,2025-10-26,,"ml,bug",40,,TASK-5,26,3,2025-10-06
TASK-0266,Integrate payment gateway,Documentation and handover,Medium,Review,Esha,Payments,2025-10-10,2025-10-14,,"frontend,backend,devops",40,,,72,4,2025-10-13
TASK-0267,Add feature flags,Customer-facing improvements,High,Todo,Bhanu,Scheduler,2025-09-12,2025-10-03,,"frontend,api",16,,,0,2,2025-09-29
TASK-0268,Conduct A/B test,Detailed work on feature as per spec,Medium,In Progress,Aisha,Notifications,2025-09-11,2025-09-25,,"frontend,api",8,,,27,3,2025-09-20
TASK-0269,Prototype new UI,Performance improvements and profiling,Low,Review,Harish,Notifications,2025-10-01,2025-10-06,,frontend,40,,,70,4,2025-10-11
TASK-0270,Investigate latency issue,Detailed work on feature as per spec,Critical,Review,Esha,Scheduler,2025-07-17,2025-08-10,,"ux,backend",40,,,85,12,2025-07-25
TASK-0271,Prototype new UI,Data pipeline and ETL,Low,Done,Harish,AuthService,2025-08-03,2025-09-09,2025-08-25,"research,performance",4,4,,100,10,2025-08-13
TASK-0272,Setup feature rollout,Documentation and handover,High,In Progress,Deepak,Scheduler,2025-08-05,2025-08-10,,"devops,research",24,,,50,14,2025-08-29
TASK-0273,Build notification service,Detailed work on feature as per spec,Low,Review,Jaya,Payments,2025-08-13,2025-09-09,,data,16,,,70,10,2025-08-20
TASK-0274,Train intent classifier,Detailed work on feature as per spec,Medium,Todo,Irfan,ML-Pipeline,2025-07-20,2025-08-26,,ux,8,,,0,15,2025-10-11
TASK-0275,Design user onboarding flow,Documentation and handover,Critical,Review,Deepak,Scheduler,2025-10-13,2025-10-27,,"backend,research,frontend",24,,,72,3,2025-10-14
TASK-0276,Fix production bug - payment,Customer-facing improvements,Low,Done,Gayathri,Analytics,2025-07-20,2025-08-17,2025-08-09,ux,40,29,,100,5,2025-08-31
TASK-0277,Create task scheduler,Backend APIs and integration,Low,Blocked,Chitra,Analytics,2025-08-05,2025-08-18,,"devops,backend",8,,TASK-193,31,2,2025-08-05
TASK-0278,Design user onboarding flow,Frontend design and interaction,Critical,Review,Jaya,Notifications,2025-08-22,2025-09-24,,"ml,devops,ux",16,,,77,1,2025-09-29
TASK-0279,Create dashboard widgets,Documentation and handover,Medium,Todo,Esha,Analytics,2025-08-22,2025-08-25,,"devops,ux,frontend",40,,,0,7,2025-09-20
TASK-0280,Conduct A/B test,Data pipeline and ETL,Low,Todo,Chitra,ML-Pipeline,2025-08-12,2025-08-26,,backend,4,,,0,8,2025-09-23
TASK-0281,Fix production bug - payment,Documentation and handover,Low,Review,Irfan,Scheduler,2025-09-24,2025-09-28,,"data,frontend",4,,,88,10,2025-10-07
TASK-0282,Optimize DB queries,Testing and QA tasks,Low,Todo,Deepak,AuthService,2025-09-14,2025-10-13,,performance,8,,TASK-249,0,6,2025-10-13
TASK-0283,Create dashboard widgets,Performance improvements and profiling,Medium,In Progress,Deepak,Analytics,2025-09-10,2025-09-25,,"ml,backend",40,,TASK-70,19,13,2025-09-20
TASK-0284,Conduct A/B test,Testing and QA tasks,Low,In Progress,Chitra,Ops,2025-09-23,2025-11-01,,"devops,frontend,performance",40,,,32,14,2025-10-01
TASK-0285,Design user onboarding flow,Performance improvements and profiling,High,Todo,Faisal,Dashboard,2025-08-01,2025-08-18,,"ml,backend,performance",4,,TASK-241,0,12,2025-10-01
TASK-0286,Create onboarding emails,Backend APIs and integration,Medium,Todo,Irfan,Onboarding,2025-07-18,2025-08-16,,ml,16,,,0,9,2025-08-07
TASK-0287,Migrate DB schema,Documentation and handover,High,Review,Aisha,ML-Pipeline,2025-08-16,2025-08-27,,"performance,ml,bug",24,,,90,12,2025-10-12
TASK-0288,Migrate DB schema,Testing and QA tasks,Medium,In Progress,Esha,Ops,2025-08-06,2025-09-14,,frontend,40,,,12,1,2025-08-20
TASK-0289,Evaluate model accuracy,Testing and QA tasks,Medium,Todo,Faisal,Scheduler,2025-07-24,2025-08-31,,"frontend,data,devops",8,,,0,15,2025-10-06
TASK-0290,Create data backup job,Data pipeline and ETL,High,Blocked,Faisal,Analytics,2025-09-10,2025-10-15,,"performance,research,backend",4,,,32,3,2025-10-10
TASK-0291,Migrate DB schema,DevOps tasks for deployment,Medium,In Progress,Esha,ML-Pipeline,2025-07-27,2025-08-22,,"frontend,devops,api",4,,TASK-92,41,5,2025-08-31
TASK-0292,Integrate payment gateway,Frontend design and interaction,Medium,Done,Irfan,Onboarding,2025-09-07,2025-10-06,2025-10-11,api,16,16,,100,2,2025-09-08
TASK-0293,Create data backup job,Data pipeline and ETL,High,In Progress,Faisal,Dashboard,2025-08-01,2025-08-25,,"bug,api,data",24,,,21,5,2025-09-03
TASK-0294,Write unit tests for scheduler,Documentation and handover,Medium,In Progress,Aisha,Scheduler,2025-08-30,2025-09-20,,"ml,ux",40,,,27,5,2025-09-14
TASK-0295,Integrate payment gateway,Detailed work on feature as per spec,Critical,In Progress,Harish,Notifications,2025-08-28,2025-09-11,,data,4,,,49,14,2025-10-01
TASK-0296,Create dashboard widgets,DevOps tasks for deployment,Medium,Done,Gayathri,ML-Pipeline,2025-09-26,2025-10-28,2025-10-16,backend,40,63,,100,4,2025-10-14
TASK-0297,Implement caching layer,Documentation and handover,Medium,Todo,Harish,Onboarding,2025-09-27,2025-11-04,,research,4,,,0,2,2025-10-07
TASK-0298,Implement auth API,Customer-facing improvements,Medium,In Progress,Deepak,Notifications,2025-09-19,2025-09-23,,data,24,,,16,6,2025-10-04
TASK-0299,Train intent classifier,Customer-facing improvements,Medium,Done,Faisal,Dashboard,2025-09-26,2025-10-26,2025-10-19,"bug,backend",16,15,,100,6,2025-10-10
TASK-0300,Implement caching layer,Performance improvements and profiling,High,In Progress,Gayathri,Dashboard,2025-09-27,2025-11-06,,"frontend,ml,devops",16,,,72,12,2025-09-29
TASK-0301,Design user onboarding flow,Performance improvements and profiling,Medium,In Progress,Chitra,Platform,2025-08-16,2025-09-24,,devops,8,,,42,1,2025-10-07
TASK-0302,Setup feature rollout,Model training and evaluation,High,In Progress,Irfan,ML-Pipeline,2025-09-16,2025-09-20,,ml,16,,,65,13,2025-09-21
TASK-0303,Write API documentation,Data pipeline and ETL,Low,Blocked,Harish,AuthService,2025-07-30,2025-08-25,,"api,performance,research",24,,,32,0,2025-09-01
TASK-0304,Create dashboard widgets,Customer-facing improvements,Low,In Progress,Chitra,Analytics,2025-09-24,2025-09-30,,"bug,performance",16,,TASK-150,72,6,2025-10-14
TASK-0305,Create dashboard widgets,Backend APIs and integration,Medium,Todo,Faisal,Analytics,2025-07-19,2025-08-10,,"bug,frontend",40,,,0,9,2025-09-04
TASK-0306,Conduct A/B test,Documentation and handover,Medium,Done,Chitra,AuthService,2025-09-17,2025-09-29,2025-10-03,devops,40,48,,100,3,2025-09-30
TASK-0307,Improve logging & monitoring,Backend APIs and integration,Low,Todo,Aisha,ML-Pipeline,2025-08-31,2025-09-22,,"bug,ml,api",40,,,0,0,2025-09-07
TASK-0308,Write unit tests for scheduler,Frontend design and interaction,High,Todo,Deepak,Notifications,2025-09-28,2025-10-14,,frontend,24,,,0,15,2025-10-11
TASK-0309,Implement auth API,Data pipeline and ETL,Low,Blocked,Irfan,Ops,2025-10-07,2025-11-09,,research,4,,TASK-6,7,6,2025-10-10
TASK-0310,Create dashboard widgets,Testing and QA tasks,Low,Todo,Esha,Ops,2025-08-31,2025-09-25,,data,40,,,0,0,2025-10-03
TASK-0311,Optimize DB queries,Data pipeline and ETL,Critical,Todo,Irfan,Onboarding,2025-10-02,2025-10-18,,"api,bug,ml",24,,,0,12,2025-10-08
TASK-0312,Optimize DB queries,DevOps tasks for deployment,Low,Todo,Faisal,AuthService,2025-08-16,2025-08-26,,"ml,api,bug",16,,,0,15,2025-08-23
TASK-0313,Evaluate model accuracy,Model training and evaluation,Medium,Review,Harish,Payments,2025-08-05,2025-09-03,,"performance,devops",4,,,91,5,2025-08-06
TASK-0314,Add feature flags,Documentation and handover,Medium,In Progress,Irfan,AuthService,2025-09-29,2025-10-11,,"performance,frontend",8,,TASK-102,48,12,2025-10-02
TASK-0315,Write unit tests for scheduler,Performance improvements and profiling,High,In Progress,Jaya,Ops,2025-09-10,2025-10-24,,"bug,api",40,,,67,4,2025-10-09
TASK-0316,Integrate payment gateway,Backend APIs and integration,Low,In Progress,Chitra,Onboarding,2025-10-02,2025-10-08,,api,4,,,53,4,2025-10-06
TASK-0317,Fix production bug - payment,Customer-facing improvements,Low,Todo,Irfan,ML-Pipeline,2025-08-16,2025-08-31,,"api,ux",40,,,0,0,2025-10-15
TASK-0318,Conduct A/B test,Detailed work on feature as per spec,Critical,Done,Bhanu,Dashboard,2025-08-18,2025-09-10,2025-09-14,"api,ux",4,2,,100,15,2025-09-14
TASK-0319,Build notification service,Model training and evaluation,High,In Progress,Bhanu,Ops,2025-07-20,2025-08-23,,"data,ux,api",24,,,25,12,2025-08-22
TASK-0320,Write API documentation,Customer-facing improvements,Critical,Review,Faisal,Notifications,2025-09-03,2025-09-09,,ux,4,,TASK-188,95,0,2025-10-13
TASK-0321,Train intent classifier,Performance improvements and profiling,Low,In Progress,Faisal,Dashboard,2025-08-31,2025-09-06,,"devops,ux,data",16,,,13,10,2025-09-10
TASK-0322,Design user onboarding flow,DevOps tasks for deployment,Medium,In Progress,Gayathri,Ops,2025-08-10,2025-09-08,,"backend,api",40,,TASK-163,53,10,2025-08-22
TASK-0323,Create onboarding emails,Documentation and handover,Low,Review,Faisal,ML-Pipeline,2025-08-11,2025-09-25,,"ml,research",16,,,85,2,2025-09-07
TASK-0324,Data ingestion from 3rd-party,Model training and evaluation,Low,Done,Gayathri,Payments,2025-07-27,2025-08-04,2025-08-07,"frontend,bug,research",4,4,,100,2,2025-09-03
TASK-0325,User research interviews,Model training and evaluation,Medium,In Progress,Deepak,Dashboard,2025-08-24,2025-09-12,,"data,api,ml",4,,,71,15,2025-09-06
TASK-0326,Add feature flags,Documentation and handover,Low,Review,Jaya,Dashboard,2025-08-03,2025-09-15,,data,8,,,77,9,2025-09-27
TASK-0327,Deploy model to staging,Testing and QA tasks,High,Done,Deepak,Dashboard,2025-09-10,2025-10-01,2025-09-30,research,40,33,,100,7,2025-09-29
TASK-0328,Improve logging & monitoring,Documentation and handover,Medium,In Progress,Aisha,Payments,2025-09-24,2025-10-14,,backend,16,,,40,5,2025-10-14
TASK-0329,Create data backup job,Detailed work on feature as per spec,Critical,In Progress,Aisha,Onboarding,2025-10-04,2025-10-27,,"research,frontend,performance",16,,,16,7,2025-10-05
TASK-0330,Refactor legacy code,DevOps tasks for deployment,Critical,In Progress,Jaya,Platform,2025-09-12,2025-10-16,,devops,40,,TASK-161,47,7,2025-10-09
TASK-0331,Optimize DB queries,Frontend design and interaction,Low,Todo,Esha,ML-Pipeline,2025-08-23,2025-09-11,,"backend,api,bug",4,,,0,8,2025-10-12
TASK-0332,Optimize image processing,Frontend design and interaction,Medium,Review,Esha,Onboarding,2025-07-24,2025-09-03,,backend,8,,,79,11,2025-08-08
TASK-0333,Prototype new UI,Data pipeline and ETL,High,In Progress,Gayathri,Notifications,2025-09-06,2025-09-14,,research,8,,,25,10,2025-10-02
TASK-0334,Create onboarding emails,Detailed work on feature as per spec,Low,Todo,Harish,ML-Pipeline,2025-08-23,2025-09-16,,"performance,frontend,ml",16,,,0,10,2025-09-21
TASK-0335,Migrate DB schema,Detailed work on feature as per spec,High,Review,Chitra,ML-Pipeline,2025-07-24,2025-08-04,,performance,8,,,88,3,2025-08-13
TASK-0336,Write unit tests for scheduler,DevOps tasks for deployment,High,Blocked,Chitra,Ops,2025-07-19,2025-08-17,,"api,ux",8,,,18,6,2025-07-29
